text	懐中時計	お金とピストル	ぼろぼろな駝鳥
懐中時計	1.0	0.900287554118731	-0.9129742764548404
お金とピストル	0.900287554118731	1.0	-0.8403116689012311
ぼろぼろな駝鳥	-0.9129742764548404	-0.8403116689012311	1.0
