model	temperature	Q1value	Q2value	Q3value	Q4value
gemini-2.5-pro-preview-03-25	0.9	65.41666666666667	66.04166666666667	31.041666666666668	32.083333333333336
gemma-3-12b-it	0.1	58.333333333333336	52.333333333333336	31.666666666666668	25.0
gemma-3-12b-it	0.4	61.66666666666666	55.0	32.166666666666664	25.33333333333333
gemma-3-12b-it	0.7	60.0	53.333333333333336	32.333333333333336	21.0
gemma-3-12b-it	0.9	65.0	59.16666666666666	34.833333333333336	26.5
gemma-3-1b-it	0.1	30.0	75.66666666666667	78.0	47.333333333333336
gemma-3-1b-it	0.4	65.66666666666667	81.56666666666666	73.9	59.0
gemma-3-1b-it	0.7	66.66666666666667	81.66666666666667	71.33333333333333	55.333333333333336
gemma-3-1b-it	0.9	23.0	82.0	77.0	88.0
gemma-3-27b-it	0.1	61.66666666666666	46.66666666666666	28.666666666666668	30.33333333333333
gemma-3-27b-it	0.4	65.0	46.66666666666666	33.166666666666664	33.0
gemma-3-27b-it	0.7	66.33333333333333	45.333333333333336	31.0	30.33333333333333
gemma-3-27b-it	0.9	65.0	46.66666666666666	35.833333333333336	34.333333333333336
gemma-3-4b-it	0.1	71.66666666666667	51.333333333333336	26.33333333333333	35.833333333333336
gemma-3-4b-it	0.4	75.0	60.833333333333336	27.33333333333333	37.0
gemma-3-4b-it	0.7	75.0	61.5	30.83333333333333	36.66666666666666
gemma-3-4b-it	0.9	78.33333333333333	66.13333333333334	45.16666666666666	34.666666666666664
gpt-4.1	0.1	58.5	59.0	37.5	26.166666666666668
gpt-4.1	0.4	66.66666666666667	69.33333333333333	39.0	27.166666666666668
gpt-4.1	0.7	66.16666666666667	67.83333333333333	38.833333333333336	26.666666666666668
gpt-4.1	0.9	63.5	65.66666666666667	39.5	27.166666666666668
gpt-4.1-mini	0.1	56.333333333333336	49.833333333333336	36.0	32.833333333333336
gpt-4.1-mini	0.4	58.833333333333336	53.16666666666666	39.0	34.333333333333336
gpt-4.1-mini	0.7	58.0	54.16666666666666	40.833333333333336	34.333333333333336
gpt-4.1-mini	0.9	57.833333333333336	54.0	41.333333333333336	34.333333333333336
gpt-4.1-nano	0.1	71.16666666666667	56.66666666666666	16.666666666666668	19.33333333333333
gpt-4.1-nano	0.4	75.5	59.66666666666666	21.0	20.666666666666668
gpt-4.1-nano	0.7	74.5	57.333333333333336	20.666666666666668	25.166666666666668
gpt-4.1-nano	0.9	79.16666666666667	61.833333333333336	23.33333333333333	26.0
gpt-4o	0.1	74.75	66.75	14.5	13.25
gpt-4o	0.4	68.83333333333333	64.33333333333333	25.33333333333333	26.166666666666668
gpt-4o	0.7	71.33333333333333	68.66666666666667	28.666666666666668	26.166666666666668
gpt-4o	0.9	63.5	68.83333333333333	33.5	28.33333333333333
gpt-4o-mini	0.1	73.25	49.0	13.5	9.0
gpt-4o-mini	0.4	74.16666666666667	51.5	29.0	20.0
gpt-4o-mini	0.7	73.5	50.16666666666666	29.33333333333333	22.5
gpt-4o-mini	0.9	70.83333333333333	50.66666666666666	35.333333333333336	25.5
grok-2-latest	0.1	60.0	41.333333333333336	29.666666666666668	27.33333333333333
grok-2-latest	0.4	76.0	64.33333333333333	25.0	24.33333333333333
grok-2-latest	0.7	75.0	62.333333333333336	24.0	22.166666666666668
grok-2-latest	0.9	76.66666666666667	69.33333333333333	27.0	24.33333333333333
grok-3-fast-latest	0.1	58.333333333333336	48.66666666666666	30.33333333333333	27.666666666666668
grok-3-fast-latest	0.4	62.5	57.333333333333336	32.5	33.0
grok-3-fast-latest	0.7	61.5	57.0	32.333333333333336	27.33333333333333
grok-3-fast-latest	0.9	63.333333333333336	69.33333333333333	40.833333333333336	36.0
