persona	大学1年生	文学研究者	感情豊かな詩人	無感情なロボット
大学1年生	1.0	0.930277735018698	0.990321798182868	0.9755227495914498
文学研究者	0.930277735018698	1.0	0.9471914858019558	0.9779305001241496
感情豊かな詩人	0.990321798182868	0.9471914858019558	1.0	0.9924570013182828
無感情なロボット	0.9755227495914498	0.9779305001241496	0.9924570013182828	1.0
