text,The Handkerchief,Money and Pistol,A Ragged Ostrich
The Handkerchief,1.0,0.8848896756738496,-0.9733356956860311
Money and Pistol,0.8848896756738496,1.0,-0.9037613532856
A Ragged Ostrich,-0.9733356956860311,-0.9037613532856,1.0
