persona,model,Q1reason,Q2reason,Q3reason,Q4reason
p2,grok-3-latest,163.63333333333333,147.9,143.96666666666667,152.9
p2,grok-3-mini-fast-latest,157.26666666666668,151.33333333333334,146.0,148.03333333333333
p2,grok-3-mini-latest,159.96666666666667,150.73333333333332,143.3,145.66666666666666
p2,o1-mini,82.9,79.36666666666666,72.73333333333333,79.2
p2,o3,100.86666666666666,96.2,80.2,88.3
p2,o3-mini,112.03333333333333,106.2,111.93333333333334,121.73333333333333
p2,o4-mini,91.8,89.26666666666667,73.76666666666667,78.73333333333333
p3,DeepSeek-R1,98.76666666666667,94.76666666666667,81.13333333333334,82.46666666666667
p3,DeepSeek-V3,105.56666666666666,97.66666666666667,85.7,91.16666666666667
p3,DeepSeek-V3-0324,88.16666666666667,87.06666666666666,77.63333333333334,82.1
p3,Llama-3.3-70B-Instruct-Turbo,115.1,116.13333333333334,115.13333333333334,128.03333333333333
p3,Llama-4-Maverick-17B,135.16666666666666,128.3,123.16666666666667,151.73333333333332
p3,Llama-4-Scout-17B,87.8,73.33333333333333,61.4,80.23333333333333
p3,Qwen2.5-VL-7B-Instruct,146.93333333333334,66.6,105.96666666666667,64.63333333333334
p3,Qwen3-235B-A22B-FP8,133.1,123.23333333333333,101.93333333333334,73.93333333333334
p3,claude-3-5-haiku-20241022,114.63333333333334,98.66666666666667,85.5,99.43333333333334
p3,claude-3-5-sonnet-20241022,94.0,89.93333333333334,81.96666666666667,99.56666666666666
p3,claude-3-7-sonnet-20250219,159.53333333333333,148.7,148.2,161.66666666666666
p3,claude-3-haiku-20240307,129.76666666666668,123.33333333333333,120.13333333333334,144.4
p3,gemini-2.0-flash,106.36666666666666,109.0,118.73333333333333,119.63333333333334
p3,gemini-2.0-flash-lite,117.33333333333333,98.83333333333333,108.7,101.1
p3,gemini-2.0-flash-thinking-exp,169.1,174.33333333333334,153.0,181.06666666666666
p3,gemini-2.5-flash-preview-04-17,171.16666666666666,178.26666666666668,163.56666666666666,183.73333333333332
p3,gemini-2.5-pro-preview-03-25,156.6,169.83333333333334,165.06666666666666,181.56666666666666
p3,gemma-3-12b-it,131.4,138.73333333333332,124.7,125.76666666666667
p3,gemma-3-1b-it,97.0,105.36666666666666,103.2,113.36666666666666
p3,gemma-3-27b-it,108.7,92.9,108.63333333333334,104.96666666666667
p3,gemma-3-4b-it,151.9,137.53333333333333,134.23333333333332,132.6
p3,gpt-4.1,112.1,101.93333333333334,95.66666666666667,97.53333333333333
p3,gpt-4.1-mini,97.1,92.13333333333334,82.8,86.06666666666666
p3,gpt-4.1-nano,78.83333333333333,77.43333333333334,71.86666666666666,81.2
p3,gpt-4o,117.36666666666666,104.66666666666667,97.46666666666667,110.73333333333333
p3,gpt-4o-mini,112.16666666666667,100.3,103.73333333333333,109.13333333333334
p3,grok-2-latest,143.96666666666667,143.46666666666667,127.16666666666667,129.33333333333334
p3,grok-3-fast-latest,173.43333333333334,166.13333333333333,160.5,162.5
p3,grok-3-latest,178.93333333333334,167.7,161.0,164.9
p3,grok-3-mini-fast-latest,147.56666666666666,140.46666666666667,137.13333333333333,132.93333333333334
p3,grok-3-mini-latest,158.2,140.23333333333332,139.96666666666667,139.43333333333334
p3,o1-mini,79.06666666666666,74.03333333333333,71.1,79.1
p3,o3,97.06666666666666,94.63333333333334,80.93333333333334,87.36666666666666
p3,o3-mini,118.9,115.6,117.16666666666667,128.7
p3,o4-mini,94.33333333333333,93.06666666666666,78.53333333333333,85.23333333333333
p4,DeepSeek-R1,95.16666666666667,94.96666666666667,78.86666666666666,82.36666666666666
p4,DeepSeek-V3,85.96666666666667,78.33333333333333,72.4,76.16666666666667
p4,DeepSeek-V3-0324,72.26666666666667,72.5,63.5,66.36666666666666
p4,Llama-3.3-70B-Instruct-Turbo,116.93333333333334,120.5,113.66666666666667,122.03333333333333
p4,Llama-4-Maverick-17B,133.76666666666668,115.86666666666666,112.93333333333334,133.56666666666666
p4,Llama-4-Scout-17B,150.4,139.66666666666666,102.5,129.26666666666668
p4,Qwen2.5-VL-7B-Instruct,148.73333333333332,57.0,60.5,73.3
p4,Qwen3-235B-A22B-FP8,117.3,106.76666666666667,90.1,78.2
p4,claude-3-5-haiku-20241022,96.06666666666666,82.5,74.86666666666666,83.56666666666666
p4,claude-3-5-sonnet-20241022,85.26666666666667,84.53333333333333,80.4,96.53333333333333
p4,claude-3-7-sonnet-20250219,156.7,152.93333333333334,147.76666666666668,159.06666666666666
p4,claude-3-haiku-20240307,137.73333333333332,117.7,124.36666666666666,143.36666666666667
p4,gemini-2.0-flash,79.86666666666666,81.63333333333334,84.96666666666667,88.23333333333333
p4,gemini-2.0-flash-lite,102.56666666666666,83.33333333333333,86.76666666666667,79.7
p4,gemini-2.0-flash-thinking-exp,80.5,81.2,72.5,88.13333333333334
p4,gemini-2.5-flash-preview-04-17,71.23333333333333,73.2,72.43333333333334,85.63333333333334
p4,gemini-2.5-pro-preview-03-25,99.73333333333333,115.93333333333334,119.16666666666667,133.86666666666667
p4,gemma-3-12b-it,83.13333333333334,104.33333333333333,94.2,92.8
p4,gemma-3-1b-it,73.0,97.96666666666667,96.46666666666667,97.33333333333333
p4,gemma-3-27b-it,84.83333333333333,83.36666666666666,78.83333333333333,85.7
p4,gemma-3-4b-it,100.7,94.9,85.83333333333333,89.06666666666666
p4,gpt-4.1,66.4,63.53333333333333,60.43333333333333,58.36666666666667
p4,gpt-4.1-mini,76.16666666666667,72.8,62.666666666666664,69.16666666666667
p4,gpt-4.1-nano,55.2,50.86666666666667,47.2,49.6
p4,gpt-4o,99.1,92.43333333333334,91.93333333333334,99.0
p4,gpt-4o-mini,94.9,84.1,89.16666666666667,89.0
p4,grok-2-latest,125.3,102.96666666666667,99.63333333333334,109.9
p4,grok-3-fast-latest,138.03333333333333,120.9,122.3,131.1
p4,grok-3-latest,136.13333333333333,122.76666666666667,122.86666666666666,126.36666666666666
p4,grok-3-mini-fast-latest,109.33333333333333,99.06666666666666,91.93333333333334,95.23333333333333
p4,grok-3-mini-latest,103.4,101.36666666666666,91.36666666666666,92.33333333333333
p4,o1-mini,60.7,60.0,54.1,57.0
p4,o3,72.86666666666666,73.53333333333333,65.4,71.83333333333333
p4,o3-mini,103.26666666666667,100.2,101.5,110.73333333333333
p4,o4-mini,78.76666666666667,77.33333333333333,64.56666666666666,72.9
