model,temperature,Q1value_mean,Q1value_std,Q1value_median,Q1value_max,Q1value_min,Q1value_skew,Q1value_kurtosis,Q2value_mean,Q2value_std,Q2value_median,Q2value_max,Q2value_min,Q2value_skew,Q2value_kurtosis,Q3value_mean,Q3value_std,Q3value_median,Q3value_max,Q3value_min,Q3value_skew,Q3value_kurtosis,Q4value_mean,Q4value_std,Q4value_median,Q4value_max,Q4value_min,Q4value_skew,Q4value_kurtosis
claude-3-7-sonnet-20250219,0.7,63.0,29.786597310037696,80.0,90.0,15.0,-0.741113841699567,-1.3580678831031194,70.5,12.549900398011133,65.0,90.0,60.0,0.6779410690524429,-1.443481728883246,40.333333333333336,32.188382283410704,20.0,85.0,15.0,0.7313828216352691,-1.553143081467343,34.333333333333336,29.87714307227047,15.0,80.0,10.0,0.6965109336286055,-1.5581901995818364
claude-3-7-sonnet-20250219,0.4,60.333333333333336,29.300268721061872,75.0,85.0,15.0,-0.692736718149302,-1.5344309283938193,68.16666666666667,13.3573777452719,60.0,90.0,40.0,0.5622410458397016,-0.5081264068058968,40.5,32.06539653851818,20.0,85.0,15.0,0.731922312935152,-1.5529518335225612,34.0,30.26890973510153,15.0,90.0,10.0,0.7307075668213149,-1.438544674981784
claude-3-7-sonnet-20250219,0.9,63.666666666666664,30.055504210266268,80.0,90.0,15.0,-0.7016841113079385,-1.4777602382207815,69.66666666666667,10.90186106647134,65.0,90.0,60.0,0.6685978654945635,-1.3020971682336344,39.666666666666664,32.74597457054397,20.0,85.0,10.0,0.7150615317688908,-1.5507947568313794,33.0,31.117131327758436,15.0,90.0,5.0,0.7255758440591848,-1.4108235003890275
claude-3-7-sonnet-20250219,0.1,60.333333333333336,28.64567528692033,75.0,85.0,20.0,-0.6865441196192358,-1.5211296534643342,69.66666666666667,14.015590662158887,60.0,90.0,60.0,0.787685172011816,-1.4415908970740552,40.0,32.43029660565926,20.0,85.0,15.0,0.7311664176939148,-1.5535714285714286,33.333333333333336,31.275564256144598,15.0,90.0,5.0,0.7460071491072391,-1.4570107263038845
DeepSeek-R1,0.7,53.333333333333336,26.856365499003992,55.0,85.0,10.0,-0.15883735150787254,-1.5414932189284973,72.66666666666667,10.316820324557145,75.0,90.0,40.0,-0.807904409109594,2.6271764041042727,31.5,27.703790354390136,15.0,85.0,10.0,0.9106976973797282,-0.8658190325278352,38.833333333333336,34.30801990621227,25.0,90.0,0.0,0.5332937889732133,-1.4932181161259723
DeepSeek-R1,0.4,58.5,26.429802926972812,65.0,90.0,15.0,-0.5175319447594141,-1.379096510732181,78.33333333333333,11.396712572986315,80.0,90.0,40.0,-1.2611206513072966,2.7448983587483053,32.0,26.60697341831195,20.0,85.0,5.0,0.7391358523942915,-1.2537841111081325,39.166666666666664,34.39334672361174,20.0,90.0,0.0,0.6460371140403031,-1.4273003084920894
DeepSeek-R1,0.9,57.5,27.691340610876647,65.0,90.0,10.0,-0.40910245835849307,-1.4252327819492807,74.83333333333333,11.101672236054421,75.0,90.0,40.0,-0.7044288080913967,1.9515783993598999,36.833333333333336,33.61760964377032,17.5,90.0,5.0,0.7411797583031674,-1.4538869512682846,39.166666666666664,33.090350018816906,25.0,90.0,5.0,0.6707185839602149,-1.4260870960174934
DeepSeek-R1,0.1,51.333333333333336,28.97482061868645,52.5,85.0,10.0,-0.1875086957775063,-1.5703843952930114,71.16666666666667,15.238524983677422,70.0,90.0,30.0,-0.762101852045604,0.7317020187659353,30.0,32.163376045133845,10.0,85.0,0.0,0.7561839446611289,-1.3627123015873017,35.833333333333336,35.576128506910784,20.0,90.0,0.0,0.5892131308261571,-1.4636901498846913
DeepSeek-V3,0.7,64.33333333333333,21.565191194709307,70.0,85.0,30.0,-0.7644702600248254,-1.000744086707407,60.333333333333336,14.617734466036117,70.0,75.0,30.0,-0.8244113289360921,-0.7904756103746453,34.333333333333336,24.166567578076684,20.0,80.0,10.0,0.9904921444331843,-0.622058563770088,32.0,21.07458021016036,30.0,80.0,10.0,0.5702905310815307,-0.8439604800422287
DeepSeek-V3,0.4,67.0,18.36413295830611,70.0,85.0,30.0,-0.9152419517222495,-0.2510480597489897,57.666666666666664,14.487410309343225,65.0,75.0,30.0,-0.39200104331454105,-1.5458293751669887,31.666666666666668,20.692049669866684,20.0,70.0,10.0,0.8873214038616375,-0.78636097473087,34.166666666666664,21.97503808530431,30.0,80.0,5.0,0.8012951923957558,-0.13633118757362395
DeepSeek-V3,0.9,67.5,18.22985425632626,70.0,90.0,30.0,-0.7569634276131606,-0.4482721301749599,62.166666666666664,13.814243856734736,70.0,80.0,30.0,-0.8430154757135534,-0.47576901576371844,31.666666666666668,19.66676407534809,20.0,80.0,10.0,1.0043159622140028,-0.22835934865855778,36.166666666666664,26.11920067073571,30.0,80.0,5.0,0.705650019384595,-0.8410498975716827
DeepSeek-V3,0.1,61.666666666666664,23.610829387546218,70.0,85.0,30.0,-0.5185022448933717,-1.553571428571428,51.5,15.489150819313766,50.0,75.0,30.0,0.04190636378887653,-1.3391732121200564,33.666666666666664,26.45534081185242,20.0,70.0,10.0,0.6629798047243364,-1.5504136190478683,33.0,21.31860123508786,30.0,60.0,5.0,0.21094599211167478,-1.5335195022036607
DeepSeek-V3-0324,0.7,63.833333333333336,21.20033072828124,70.0,85.0,20.0,-0.6638360107718043,-0.9736019607801021,64.5,10.451035256424815,70.0,80.0,40.0,-0.8534879949943058,-0.566048399908845,40.5,26.436325583273245,25.0,85.0,20.0,0.7558215675345529,-1.3645077723192371,37.666666666666664,24.308836669612248,40.0,80.0,10.0,0.24328073598337693,-1.3068002597946937
DeepSeek-V3-0324,0.4,63.0,21.479741859361987,70.0,85.0,30.0,-0.4882958556413724,-1.4057432687281468,64.16666666666667,10.346024834933342,70.0,75.0,50.0,-0.6371106685690628,-1.526816681359269,34.666666666666664,21.61310798523917,20.0,80.0,20.0,0.9269257246787218,-0.8747608566645706,39.666666666666664,29.767296720108607,30.0,90.0,10.0,0.547252780645448,-1.414298810655799
DeepSeek-V3-0324,0.9,64.16666666666667,20.93023441444644,70.0,85.0,30.0,-0.4698196233792043,-1.443223427462488,66.16666666666667,11.794456129991701,70.0,90.0,40.0,-0.7553066341967921,0.23115398409042376,42.666666666666664,26.740558544360436,30.0,85.0,20.0,0.6748965242861764,-1.4831558551549675,41.333333333333336,26.22624814863962,35.0,90.0,10.0,0.5834952432406737,-0.8742100165790982
DeepSeek-V3-0324,0.1,60.333333333333336,23.375987286298635,70.0,85.0,30.0,-0.3574917309987463,-1.6012139311964644,62.333333333333336,12.914395425082903,70.0,75.0,40.0,-0.8531577954971838,-1.0226234812275625,34.666666666666664,21.613107985239168,20.0,80.0,20.0,0.926925724678722,-0.8747608566645693,38.0,27.841918285080563,30.0,90.0,10.0,0.6421522102553917,-1.0471710667693497
gemini-2.0-flash,0.7,66.0,16.577924665255797,60.0,85.0,30.0,-0.6016170160959031,0.23398897805589147,59.833333333333336,15.113554850857724,70.0,90.0,40.0,-0.3351096558729682,-1.2327030038717042,37.0,25.07230922063567,20.0,80.0,20.0,0.9701897002766461,-0.9467375863751308,43.333333333333336,16.626388110747186,40.0,80.0,30.0,1.1211383384243296,-0.14354715913967464
gemini-2.0-flash,0.4,58.333333333333336,22.868941946384975,60.0,85.0,30.0,-0.11669800106510082,-1.5535714285714273,58.0,14.948186373673193,60.0,90.0,40.0,0.23361118230461245,-0.5226455389349765,36.833333333333336,24.22891309747628,20.0,75.0,20.0,0.749540971650195,-1.5379060195018885,44.666666666666664,15.643293888377885,40.0,80.0,30.0,1.1373706311021317,0.5514901325108901
gemini-2.0-flash,0.9,59.48275862068966,22.652058704382654,60.0,85.0,30.0,-0.2122982472566155,-1.4943725908624264,60.0,17.928429140015904,60.0,90.0,40.0,0.3993932636952789,-0.9085153529597974,37.58620689655172,23.927744269212003,20.0,75.0,20.0,0.8148092118629418,-1.3384469463982627,49.6551724137931,20.742082589455265,40.0,80.0,20.0,0.4522609630577252,-1.3806157598245745
gemini-2.0-flash,0.1,58.333333333333336,22.868941946384975,60.0,85.0,30.0,-0.11669800106510082,-1.5535714285714273,57.333333333333336,13.879613761229798,60.0,90.0,40.0,0.017440900517913943,-0.7385528188411534,36.666666666666664,23.973165074269208,20.0,70.0,20.0,0.744880486236222,-1.553571428571428,40.666666666666664,9.071871393197362,40.0,60.0,30.0,0.15923209863777157,-1.1762942123261713
gemini-2.0-flash-lite,0.7,75.0,12.034433356286309,80.0,90.0,60.0,-0.19077910021809566,-1.608175413022352,46.0,21.27002099442895,40.0,90.0,20.0,0.6348804199189144,-1.1034607583118516,24.0,20.94327313614499,10.0,70.0,10.0,1.019311010084461,-0.5599996515357857,17.5,12.781317184293536,20.0,50.0,0.0,0.338407384760084,-0.02232351089571516
gemini-2.0-flash-lite,0.4,63.5,25.70220707013042,75.0,90.0,20.0,-0.5571911276484419,-1.5003558140675273,51.0,23.24531840148048,60.0,90.0,20.0,-0.23543217109321385,-1.4375372824423096,29.666666666666668,28.343135559308415,10.0,70.0,10.0,0.7566323216547405,-1.5194263693060557,23.666666666666668,18.88866351003697,20.0,70.0,0.0,0.6165254841417757,-0.4733245554455836
gemini-2.0-flash-lite,0.9,76.0,12.484473115254694,77.5,90.0,60.0,-0.17259112250331562,-1.6165377038512172,48.166666666666664,22.76125463685335,40.0,85.0,20.0,0.4408069543968558,-1.437761975915018,31.333333333333332,26.617771265198687,20.0,70.0,10.0,0.7400238049167136,-1.3847462940435848,21.833333333333332,16.214262204940894,25.0,50.0,0.0,0.03039743470353583,-0.967821350533443
gemini-2.0-flash-lite,0.1,71.16666666666667,11.49837569738269,70.0,90.0,60.0,0.4230571851848835,-1.5554422672825485,38.5,23.604134646578196,30.0,70.0,10.0,0.4752945463815352,-1.5024345956895298,24.166666666666668,19.91721371826016,10.0,70.0,5.0,1.2468826649642863,0.5494298951083865,13.166666666666666,9.955360134234162,20.0,40.0,0.0,0.23844169414745398,0.010723171652156527
gemini-2.0-flash-thinking-exp,0.7,52.758620689655174,33.90075343917657,65.0,90.0,5.0,-0.47571671522600817,-1.6560116281800275,45.3448275862069,30.470449223174725,35.0,90.0,5.0,0.3004836221963116,-1.5703408959125487,31.896551724137932,37.82983028131768,10.0,90.0,0.0,0.709750693830638,-1.5183012980814896,36.03448275862069,31.633484472967528,30.0,80.0,0.0,0.3117536629113881,-1.6704748833924346
gemini-2.0-flash-thinking-exp,0.4,53.148148148148145,34.25436940540321,65.0,85.0,5.0,-0.5623096851713573,-1.553981686373881,40.74074074074074,32.57251388776526,20.0,90.0,10.0,0.612935073615428,-1.48999045386358,31.48148148148148,36.395657359688876,10.0,90.0,0.0,0.802006321102373,-1.3535607573884456,37.592592592592595,32.23621859297069,25.0,90.0,0.0,0.4710541152092812,-1.4773588138382403
gemini-2.0-flash-thinking-exp,0.9,54.57142857142857,36.44318619585587,75.0,90.0,5.0,-0.5408728494640435,-1.6912626036228264,51.535714285714285,30.841869260323687,40.0,95.0,10.0,0.20302399546402755,-1.7348024801614788,36.892857142857146,40.11034713250369,12.5,95.0,0.0,0.5607481478191452,-1.7134907485882462,45.892857142857146,30.216918593929613,35.0,90.0,0.0,0.2729737846952111,-1.541664548753456
gemini-2.0-flash-thinking-exp,0.1,48.57142857142857,35.45621041711673,60.0,85.0,0.0,-0.38473428859826736,-1.731391184573003,39.82142857142857,35.49862133100547,15.0,90.0,5.0,0.4976228546040313,-1.738880498874079,31.25,35.86561853074045,10.0,90.0,0.0,0.6396122627368582,-1.6046401168292692,38.57142857142857,29.24535869656936,30.0,85.0,0.0,0.33335145403164257,-1.4222221744185186
gemini-2.0-pro-exp,0.7,62.5,27.4620950888068,70.0,90.0,20.0,-0.6790733400864202,-1.1730653516364704,65.22727272727273,25.97972069607153,70.0,95.0,30.0,-0.2592602429250866,-1.5981386663671548,31.818181818181817,32.933752210035756,15.0,85.0,10.0,1.0772519416253994,-0.8905619822213895,33.40909090909091,28.842196420735615,22.5,80.0,5.0,0.8237987002501819,-1.0239486546969965
gemini-2.0-pro-exp,0.4,70.0,,70.0,70.0,70.0,,,30.0,,30.0,30.0,30.0,,,10.0,,10.0,10.0,10.0,,,20.0,,20.0,20.0,20.0,,
gemini-2.5-flash-preview-04-17,0.7,47.291666666666664,34.67172656774401,62.5,85.0,5.0,-0.15362768370941632,-1.9295730340632733,48.333333333333336,30.132557383878876,47.5,90.0,10.0,0.11316655868147486,-1.6698169684576125,37.291666666666664,39.20345943770853,10.0,85.0,0.0,0.35271645846820715,-2.011176805688601,39.791666666666664,30.5912450770203,40.0,85.0,0.0,0.05190362028633687,-1.6117943217594553
gemini-2.5-flash-preview-04-17,0.4,50.535714285714285,34.81004765853414,60.0,85.0,5.0,-0.41035233265214016,-1.7158341364668301,40.357142857142854,35.37964918875789,20.0,95.0,5.0,0.662694260961004,-1.4665536111121555,32.5,37.577081273524115,5.0,95.0,0.0,0.6576544959412792,-1.5983929626857958,43.57142857142857,33.162259418433024,30.0,90.0,0.0,0.32026843512709813,-1.6012544925028789
gemini-2.5-flash-preview-04-17,0.9,55.689655172413794,36.17230930685976,75.0,95.0,0.0,-0.6300005752525515,-1.5703889513230995,52.41379310344828,31.271298160932663,60.0,100.0,5.0,-0.009952847031146432,-1.4952229857577628,36.206896551724135,40.192731494943594,10.0,95.0,0.0,0.6326188027665847,-1.6319295023071838,42.58620689655172,32.1719900816348,20.0,90.0,5.0,0.4423813865478544,-1.6758125106912283
gemini-2.5-flash-preview-04-17,0.1,45.17857142857143,34.52004631925627,50.0,85.0,0.0,-0.21875985924404007,-1.7639873313868426,36.42857142857143,36.23118011738526,12.5,90.0,0.0,0.5973355753529013,-1.6543653890299221,31.785714285714285,35.28230817054448,10.0,85.0,0.0,0.6411727452389,-1.555229628904002,37.857142857142854,26.95773686197669,32.5,85.0,0.0,0.1306342593073536,-1.2659553546782152
gemini-2.5-pro-preview-03-25,0.7,68.75,23.18404623873926,72.5,90.0,10.0,-1.4105585337838875,1.1204786935969477,63.333333333333336,29.030219137795115,67.5,95.0,25.0,-0.14098630345095073,-1.8870982005162216,23.958333333333332,27.424963503866433,12.5,85.0,10.0,1.8854540082858913,1.7575255749424321,27.916666666666668,28.586887639747285,17.5,95.0,5.0,1.4804760429582036,1.0348149254147203
gemini-2.5-pro-preview-03-25,0.4,64.6,26.922728935480023,70.0,90.0,10.0,-1.1444560789519653,0.052031238883378794,63.0,28.867513459481287,65.0,95.0,20.0,-0.2688444079574301,-1.6394252964426876,27.8,31.985673876492477,10.0,85.0,5.0,1.2752785631744505,-0.3574771793959717,35.4,30.785548557724287,25.0,90.0,5.0,1.1105585800629516,-0.4849123173788721
gemini-2.5-pro-preview-03-25,0.9,65.41666666666667,29.151652450242167,75.0,90.0,5.0,-1.2725839306073417,0.05290387285018561,66.04166666666667,25.28013340406922,70.0,95.0,25.0,-0.2255742325542314,-1.5780195319203993,31.041666666666668,29.926691832843314,20.0,90.0,5.0,1.3908937195982172,0.19377307763383156,32.083333333333336,31.03002286239215,20.0,95.0,5.0,1.3868764241786657,0.18932577773395476
gemini-2.5-pro-preview-03-25,0.1,55.38461538461539,30.72207925655674,62.5,85.0,10.0,-0.5861498602001189,-1.259962149083694,57.30769230769231,31.152231677065103,50.0,95.0,20.0,0.04581868060857999,-1.7449304429693246,28.46153846153846,30.684498717405532,10.0,80.0,5.0,1.107658614840784,-0.804608164397473,35.57692307692308,30.440989572513015,20.0,90.0,5.0,0.9977948878931044,-0.8392007129169068
gemma-3-12b-it,0.7,60.0,23.118883161188595,65.0,85.0,30.0,-0.33636995531460295,-1.5535714285714286,53.333333333333336,17.287295182088023,60.0,70.0,30.0,-0.5562110506071222,-1.5535714285714302,32.333333333333336,32.1830254394577,10.0,85.0,10.0,0.7576950302232738,-1.5107688883588823,21.0,12.892125369842015,20.0,40.0,5.0,-0.10759107694395749,-1.4297443594782657
gemma-3-12b-it,0.4,61.666666666666664,20.899320783111644,65.0,85.0,35.0,-0.25183392079372713,-1.5535714285714288,55.0,18.09934272001477,65.0,70.0,30.0,-0.7010182701707344,-1.5535714285714286,32.166666666666664,31.91268619577307,10.0,80.0,10.0,0.7509521217760021,-1.5338049114056596,25.333333333333332,15.421286974634219,30.0,50.0,5.0,-0.3994130210149292,-1.4616435689155014
gemma-3-12b-it,0.9,65.0,24.91364395612199,65.0,95.0,35.0,0.0,-1.5535714285714286,59.166666666666664,19.960449399497122,65.0,80.0,30.0,-0.49928728863210736,-1.4024435789797491,34.833333333333336,32.20310900961361,15.0,80.0,10.0,0.7333779451316182,-1.546233850350571,26.5,16.720315951477755,30.0,55.0,5.0,-0.23877151311057168,-1.3435591694065152
gemma-3-12b-it,0.1,58.333333333333336,25.37081317024624,65.0,85.0,25.0,-0.40219765776447264,-1.5535714285714277,52.333333333333336,16.543220995910684,60.0,70.0,30.0,-0.5462309470355431,-1.5167220385117692,31.666666666666668,31.16511459654997,10.0,75.0,10.0,0.7448804862362216,-1.553571428571429,25.0,14.97123679040856,30.0,40.0,5.0,-0.49545555396829677,-1.5535714285714286
gemma-3-1b-it,0.7,66.66666666666667,11.986582537134604,75.0,75.0,50.0,-0.7448804862362234,-1.5535714285714273,81.66666666666667,4.794633014853841,85.0,85.0,75.0,-0.7448804862362249,-1.5535714285714257,71.33333333333333,11.957780134587125,70.0,90.0,60.0,0.6340252234172216,-1.139787932004721,55.333333333333336,23.559657706859152,50.0,85.0,30.0,0.2306886912363854,-1.6461282368250572
gemma-3-1b-it,0.4,65.66666666666667,14.42778290452937,75.0,75.0,20.0,-1.397258596604898,1.599623108185114,81.56666666666666,6.452389738177115,85.0,88.0,60.0,-1.4945567370544879,2.5886875220930663,73.9,12.909098635699046,70.0,90.0,50.0,0.1638566534593237,-1.4425808111872673,59.0,22.52967391900184,60.0,90.0,30.0,-0.00019384372985360135,-1.4414099640845826
gemma-3-1b-it,0.9,23.0,4.83045891539648,20.0,30.0,20.0,1.0350983390135313,-1.2244897959183674,82.0,4.83045891539648,85.0,85.0,75.0,-1.0350983390135313,-1.2244897959183674,77.0,5.868938953886336,75.0,85.0,70.0,0.5565109908146644,-1.1806897576928796,88.0,6.324555320336759,90.0,90.0,70.0,-3.162277660168379,10.0
gemma-3-1b-it,0.1,30.0,14.383899044561524,20.0,50.0,20.0,0.7448804862362217,-1.5535714285714286,75.66666666666667,2.537081317024625,75.0,85.0,75.0,3.659998685656688,12.206632653061183,78.0,9.878573120474016,85.0,85.0,60.0,-0.9784381635972855,-0.7154149143997937,47.333333333333336,29.587198225762688,30.0,90.0,5.0,0.25770393454554363,-1.4426843930521267
gemma-3-27b-it,0.7,66.33333333333333,20.296650536196996,75.0,85.0,35.0,-0.671010232934398,-1.3670433644998194,45.333333333333336,18.14374278639473,40.0,70.0,30.0,0.6105363340033858,-1.5833828420728826,31.0,24.684212461157966,15.0,70.0,10.0,0.7761389937258828,-1.4029035993114272,30.333333333333332,18.842968748696894,30.0,60.0,10.0,0.3462582859404695,-1.4060344871855461
